artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
René Legrand,1.1725490196078432
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
René Legrand,1.1725490196078432
Narcisse Berchère,
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
René Legrand,1.1725490196078432
Narcisse Berchère,
Maurice Bompard,2.015686274509804
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
René Legrand,1.1725490196078432
Narcisse Berchère,
Maurice Bompard,2.015686274509804
Georges Washington,24.2
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
René Legrand,1.1725490196078432
Narcisse Berchère,
Maurice Bompard,2.015686274509804
Georges Washington,24.2
George Henry Yewell,0.39215686274509803
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
René Legrand,1.1725490196078432
Narcisse Berchère,
Maurice Bompard,2.015686274509804
Georges Washington,24.2
George Henry Yewell,0.39215686274509803
Adriano Cecchi,0.8784313725490196
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
René Legrand,1.1725490196078432
Narcisse Berchère,
Maurice Bompard,2.015686274509804
Georges Washington,24.2
George Henry Yewell,0.39215686274509803
Adriano Cecchi,0.8784313725490196
Anna Richards Brewster,0.5490196078431373
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
René Legrand,1.1725490196078432
Narcisse Berchère,
Maurice Bompard,2.015686274509804
Georges Washington,24.2
George Henry Yewell,0.39215686274509803
Adriano Cecchi,0.8784313725490196
Anna Richards Brewster,0.5490196078431373
Philippe Pavy,0.39215686274509803
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
René Legrand,1.1725490196078432
Narcisse Berchère,
Maurice Bompard,2.015686274509804
Georges Washington,24.2
George Henry Yewell,0.39215686274509803
Adriano Cecchi,0.8784313725490196
Anna Richards Brewster,0.5490196078431373
Philippe Pavy,0.39215686274509803
Pierre Jan van der Ouderaa,0.39215686274509803
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
René Legrand,1.1725490196078432
Narcisse Berchère,
Maurice Bompard,2.015686274509804
Georges Washington,24.2
George Henry Yewell,0.39215686274509803
Adriano Cecchi,0.8784313725490196
Anna Richards Brewster,0.5490196078431373
Philippe Pavy,0.39215686274509803
Pierre Jan van der Ouderaa,0.39215686274509803
Joseph van Severdonck,
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
René Legrand,1.1725490196078432
Narcisse Berchère,
Maurice Bompard,2.015686274509804
Georges Washington,24.2
George Henry Yewell,0.39215686274509803
Adriano Cecchi,0.8784313725490196
Anna Richards Brewster,0.5490196078431373
Philippe Pavy,0.39215686274509803
Pierre Jan van der Ouderaa,0.39215686274509803
Joseph van Severdonck,
John Bagnold Burgess,0.7843137254901961
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
René Legrand,1.1725490196078432
Narcisse Berchère,
Maurice Bompard,2.015686274509804
Georges Washington,24.2
George Henry Yewell,0.39215686274509803
Adriano Cecchi,0.8784313725490196
Anna Richards Brewster,0.5490196078431373
Philippe Pavy,0.39215686274509803
Pierre Jan van der Ouderaa,0.39215686274509803
Joseph van Severdonck,
John Bagnold Burgess,0.7843137254901961
Rudolf Ernst,23.80392156862745
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
René Legrand,1.1725490196078432
Narcisse Berchère,
Maurice Bompard,2.015686274509804
Georges Washington,24.2
George Henry Yewell,0.39215686274509803
Adriano Cecchi,0.8784313725490196
Anna Richards Brewster,0.5490196078431373
Philippe Pavy,0.39215686274509803
Pierre Jan van der Ouderaa,0.39215686274509803
Joseph van Severdonck,
John Bagnold Burgess,0.7843137254901961
Rudolf Ernst,23.80392156862745
Richard Fuchs,11.60392156862745
artist,google_trend_score
François Léon Prieur-Bardin,0.39215686274509803
Stefano Ussi,7.031372549019608
European School,37.70980392156863
Alberto Pasini,8.729411764705882
